"1级分类","1级功能描述","2级分类","2级功能描述","3级分类","3级功能描述","4级分类","4级功能描述","5级分类","5级功能描述","关键技术点","典型场景","优先级","Apstra支持状态","Apstra支持说明","CloudVision支持状态","CloudVision支持说明","iMaster NCE-Fabric + FabricInsight支持状态","iMaster NCE-Fabric + FabricInsight支持说明","AmpCon-DC（FS/Pica8）支持状态","AmpCon-DC（FS/Pica8）支持说明"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","健康分析","综合设备、链路、协议、业务和AIDC指标评估网络健康。","健康评分","对健康评分相关数据进行关联分析、问题定位和结果呈现。","AIDC健康评分","AIDC健康评分用于围绕PFC、ECN、Buffer、Queue、路径均衡开展分析和诊断。","PFC、ECN、Buffer、Queue、路径均衡","明确AIDC健康评分覆盖的具体对象、状态或指标，包括PFC、ECN、Buffer、Queue、路径均衡。","多维健康模型、加权评分、阈值与趋势、对象下钻；具体范围：PFC、ECN、Buffer、Queue、路径均衡","日常健康巡检、风险排序、站点/Fabric/设备下钻；关注：PFC、ECN、Buffer、Queue、路径均衡","P1（重要）","不支持/未发现原生支持","AIDC健康评分：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","AIDC健康评分：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","AIDC健康评分：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 PFC、ECN、Buffer、Queue、路径均衡，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","AIDC健康评分：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 PFC、ECN、Buffer、Queue、路径均衡；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","静态异常","对静态异常相关数据进行关联分析、问题定位和结果呈现。","阈值异常检测","阈值异常检测用于围绕超过上限、低于下限、持续时间开展分析和诊断。","超过上限、低于下限、持续时间","明确阈值异常检测覆盖的具体对象、状态或指标，包括超过上限、低于下限、持续时间。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：超过上限、低于下限、持续时间","性能劣化预警、突发异常发现、基线偏离排查；关注：超过上限、低于下限、持续时间","P1（重要）","支持","阈值异常检测：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 超过上限、低于下限、持续时间。","支持","阈值异常检测：CloudVision 原生状态流、Events、Designed/Running Compliance、Workspace/Change Control 或历史状态可核验覆盖该项；范围为 超过上限、低于下限、持续时间。","部分支持/依组件、版本或硬件","阈值异常检测：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 超过上限、低于下限、持续时间，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","阈值异常检测：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 超过上限、低于下限、持续时间。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","动态异常","对动态异常相关数据进行关联分析、问题定位和结果呈现。","动态基线检测","动态基线检测用于围绕同比、环比、周期性、趋势偏离开展分析和诊断。","同比、环比、周期性、趋势偏离","明确动态基线检测覆盖的具体对象、状态或指标，包括同比、环比、周期性、趋势偏离。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：同比、环比、周期性、趋势偏离","性能劣化预警、突发异常发现、基线偏离排查；关注：同比、环比、周期性、趋势偏离","P1（重要）","不支持/未发现原生支持","动态基线检测：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","动态基线检测：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","动态基线检测：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 同比、环比、周期性、趋势偏离，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","动态基线检测：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 同比、环比、周期性、趋势偏离；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","状态与组合异常","对状态与组合异常相关数据进行关联分析、问题定位和结果呈现。","状态变化检测","状态变化检测用于围绕Up/Down、Flap、邻居变化、端点移动开展分析和诊断。","Up/Down、Flap、邻居变化、端点移动","明确状态变化检测覆盖的具体对象、状态或指标，包括Up/Down、Flap、邻居变化、端点移动。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：Up/Down、Flap、邻居变化、端点移动","性能劣化预警、突发异常发现、基线偏离排查；关注：Up/Down、Flap、邻居变化、端点移动","P1（重要）","支持","状态变化检测：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 Up/Down、Flap、邻居变化、端点移动。","支持","状态变化检测：CloudVision 原生状态流、Events、Designed/Running Compliance、Workspace/Change Control 或历史状态可核验覆盖该项；范围为 Up/Down、Flap、邻居变化、端点移动。","部分支持/依组件、版本或硬件","状态变化检测：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 Up/Down、Flap、邻居变化、端点移动，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","状态变化检测：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 Up/Down、Flap、邻居变化、端点移动。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","状态与组合异常","对状态与组合异常相关数据进行关联分析、问题定位和结果呈现。","多指标关联异常","多指标关联异常用于围绕利用率、时延、丢包、队列联合判断开展分析和诊断。","利用率、时延、丢包、队列联合判断","明确多指标关联异常覆盖的具体对象、状态或指标，包括利用率、时延、丢包、队列联合判断。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：利用率、时延、丢包、队列联合判断","性能劣化预警、突发异常发现、基线偏离排查；关注：利用率、时延、丢包、队列联合判断","P1（重要）","部分支持","多指标关联异常：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","不支持/未发现原生支持","多指标关联异常：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","多指标关联异常：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 利用率、时延、丢包、队列联合判断，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","多指标关联异常：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 利用率、时延、丢包、队列联合判断。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","拓扑与配置异常","对拓扑与配置异常相关数据进行关联分析、问题定位和结果呈现。","连接关系异常","连接关系异常用于围绕缺链、错接、未知邻居、环路开展分析和诊断。","缺链、错接、未知邻居、环路","明确连接关系异常覆盖的具体对象、状态或指标，包括缺链、错接、未知邻居、环路。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：缺链、错接、未知邻居、环路","性能劣化预警、突发异常发现、基线偏离排查；关注：缺链、错接、未知邻居、环路","P1（重要）","支持","连接关系异常：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 缺链、错接、未知邻居、环路。","部分支持","连接关系异常：CloudVision 可提供部分遥测、事件或配置证据；覆盖 缺链、错接、未知邻居、环路 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","连接关系异常：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 缺链、错接、未知邻居、环路，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","连接关系异常：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 缺链、错接、未知邻居、环路。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","异常检测","通过阈值、动态基线及多指标关联识别异常。","拓扑与配置异常","对拓扑与配置异常相关数据进行关联分析、问题定位和结果呈现。","配置漂移检测","配置漂移检测用于围绕带外修改、缺失配置、非法配置开展分析和诊断。","带外修改、缺失配置、非法配置","明确配置漂移检测覆盖的具体对象、状态或指标，包括带外修改、缺失配置、非法配置。","静态阈值、动态基线、时序异常、多指标与拓扑关联；具体范围：带外修改、缺失配置、非法配置","性能劣化预警、突发异常发现、基线偏离排查；关注：带外修改、缺失配置、非法配置","P1（重要）","支持","配置漂移检测：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 带外修改、缺失配置、非法配置。","支持","配置漂移检测：CloudVision 原生状态流、Events、Designed/Running Compliance、Workspace/Change Control 或历史状态可核验覆盖该项；范围为 带外修改、缺失配置、非法配置。","部分支持/依组件、版本或硬件","配置漂移检测：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 带外修改、缺失配置、非法配置，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","配置漂移检测：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 带外修改、缺失配置、非法配置；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","关联分析","对关联分析相关数据进行关联分析、问题定位和结果呈现。","上下游依赖分析","上下游依赖分析用于围绕设备、链路、协议、业务依赖开展分析和诊断。","设备、链路、协议、业务依赖","明确上下游依赖分析覆盖的具体对象、状态或指标，包括设备、链路、协议、业务依赖。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：设备、链路、协议、业务依赖","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：设备、链路、协议、业务依赖","P1（重要）","部分支持","上下游依赖分析：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 设备、链路、协议、业务依赖 的通用专用分析器。","不支持/未发现原生支持","上下游依赖分析：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","上下游依赖分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 设备、链路、协议、业务依赖，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","上下游依赖分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 设备、链路、协议、业务依赖；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","关联分析","对关联分析相关数据进行关联分析、问题定位和结果呈现。","事件时间相关性","事件时间相关性用于围绕告警发生顺序、共同时间窗口开展分析和诊断。","告警发生顺序、共同时间窗口","明确事件时间相关性覆盖的具体对象、状态或指标，包括告警发生顺序、共同时间窗口。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：告警发生顺序、共同时间窗口","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：告警发生顺序、共同时间窗口","P1（重要）","部分支持","事件时间相关性：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 告警发生顺序、共同时间窗口 的通用专用分析器。","不支持/未发现原生支持","事件时间相关性：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","事件时间相关性：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 告警发生顺序、共同时间窗口，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","事件时间相关性：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 告警发生顺序、共同时间窗口。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","关联分析","对关联分析相关数据进行关联分析、问题定位和结果呈现。","变更影响关联","变更影响关联用于围绕Workspace、Task、Change Control、配置提交开展分析和诊断。","Workspace、Task、Change Control、配置提交","明确变更影响关联覆盖的具体对象、状态或指标，包括Workspace、Task、Change Control、配置提交。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：Workspace、Task、Change Control、配置提交","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：Workspace、Task、Change Control、配置提交","P1（重要）","部分支持","变更影响关联：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 Workspace、Task、Change Control、配置提交 的通用专用分析器。","不支持/未发现原生支持","变更影响关联：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","变更影响关联：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 Workspace、Task、Change Control、配置提交，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","变更影响关联：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 Workspace、Task、Change Control、配置提交；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","告警与影响","对告警与影响相关数据进行关联分析、问题定位和结果呈现。","根因告警聚合","根因告警聚合用于围绕根因、症状、衍生告警开展分析和诊断。","根因、症状、衍生告警","明确根因告警聚合覆盖的具体对象、状态或指标，包括根因、症状、衍生告警。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：根因、症状、衍生告警","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：根因、症状、衍生告警","P1（重要）","支持","根因告警聚合：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 根因、症状、衍生告警。","不支持/未发现原生支持","根因告警聚合：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","根因告警聚合：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 根因、症状、衍生告警，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","根因告警聚合：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 根因、症状、衍生告警。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","告警与影响","对告警与影响相关数据进行关联分析、问题定位和结果呈现。","影响范围计算","影响范围计算用于围绕设备、链路、租户、应用、GPU Pod开展分析和诊断。","设备、链路、租户、应用、GPU Pod","明确影响范围计算覆盖的具体对象、状态或指标，包括设备、链路、租户、应用、GPU Pod。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：设备、链路、租户、应用、GPU Pod","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：设备、链路、租户、应用、GPU Pod","P1（重要）","部分支持","影响范围计算：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 设备、链路、租户、应用、GPU Pod 的通用专用分析器。","不支持/未发现原生支持","影响范围计算：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","影响范围计算：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 设备、链路、租户、应用、GPU Pod，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","影响范围计算：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 设备、链路、租户、应用、GPU Pod；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","根因分析","关联拓扑、事件、变更和告警，定位根因及影响范围。","告警与影响","对告警与影响相关数据进行关联分析、问题定位和结果呈现。","根因解释","根因解释用于围绕指标、事件、拓扑、配置、路径证据开展分析和诊断。","指标、事件、拓扑、配置、路径证据","明确根因解释覆盖的具体对象、状态或指标，包括指标、事件、拓扑、配置、路径证据。","拓扑依赖图、事件与变更关联、因果排序、影响范围分析；具体范围：指标、事件、拓扑、配置、路径证据","多告警故障定位、变更关联、影响面评估与缩短 MTTR；关注：指标、事件、拓扑、配置、路径证据","P1（重要）","部分支持","根因解释：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 指标、事件、拓扑、配置、路径证据 的通用专用分析器。","不支持/未发现原生支持","根因解释：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","根因解释：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 指标、事件、拓扑、配置、路径证据，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","根因解释：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 指标、事件、拓扑、配置、路径证据。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","物理层诊断","诊断接口、光模块、线缆和链路稳定性问题。","链路诊断","对链路诊断相关数据进行关联分析、问题定位和结果呈现。","接口错误诊断","接口错误诊断用于围绕CRC、Frame、Discard、FEC开展分析和诊断。","CRC、Frame、Discard、FEC","明确接口错误诊断覆盖的具体对象、状态或指标，包括CRC、Frame、Discard、FEC。","接口错误、光功率/温度、FEC/BER、线缆与链路抖动分析；具体范围：CRC、Frame、Discard、FEC","光链路劣化、误码、模块温度与间歇性链路故障排查；关注：CRC、Frame、Discard、FEC","P0（核心）","部分支持","接口错误诊断：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 CRC、Frame、Discard、FEC 的通用专用分析器。","部分支持","接口错误诊断：CloudVision 可提供部分遥测、事件或配置证据；覆盖 CRC、Frame、Discard、FEC 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","接口错误诊断：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 CRC、Frame、Discard、FEC，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","接口错误诊断：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 CRC、Frame、Discard、FEC。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","物理层诊断","诊断接口、光模块、线缆和链路稳定性问题。","链路诊断","对链路诊断相关数据进行关联分析、问题定位和结果呈现。","光功率异常分析","光功率异常分析用于围绕Tx/Rx Power、衰减、温度、偏置电流开展分析和诊断。","Tx/Rx Power、衰减、温度、偏置电流","明确光功率异常分析覆盖的具体对象、状态或指标，包括Tx/Rx Power、衰减、温度、偏置电流。","接口错误、光功率/温度、FEC/BER、线缆与链路抖动分析；具体范围：Tx/Rx Power、衰减、温度、偏置电流","光链路劣化、误码、模块温度与间歇性链路故障排查；关注：Tx/Rx Power、衰减、温度、偏置电流","P0（核心）","部分支持","光功率异常分析：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 Tx/Rx Power、衰减、温度、偏置电流 的通用专用分析器。","部分支持","光功率异常分析：CloudVision 可提供部分遥测、事件或配置证据；覆盖 Tx/Rx Power、衰减、温度、偏置电流 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","光功率异常分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 Tx/Rx Power、衰减、温度、偏置电流，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","光功率异常分析：实时 Telemetry 异常检测、分级告警、拓扑告警、邮件规则/抑制期及历史数据可提供部分证据；未核验完整分析或闭环覆盖 Tx/Rx Power、衰减、温度、偏置电流。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","物理层诊断","诊断接口、光模块、线缆和链路稳定性问题。","链路诊断","对链路诊断相关数据进行关联分析、问题定位和结果呈现。","连接质量分析","连接质量分析用于围绕线缆类型、距离、模块兼容、误码开展分析和诊断。","线缆类型、距离、模块兼容、误码","明确连接质量分析覆盖的具体对象、状态或指标，包括线缆类型、距离、模块兼容、误码。","接口错误、光功率/温度、FEC/BER、线缆与链路抖动分析；具体范围：线缆类型、距离、模块兼容、误码","光链路劣化、误码、模块温度与间歇性链路故障排查；关注：线缆类型、距离、模块兼容、误码","P0（核心）","部分支持","连接质量分析：Blueprint 图、Anomaly/RCI、IBA、Revision 可提供部分证据，但未核验覆盖 线缆类型、距离、模块兼容、误码 的通用专用分析器。","部分支持","连接质量分析：CloudVision 可提供部分遥测、事件或配置证据；覆盖 线缆类型、距离、模块兼容、误码 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","连接质量分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 线缆类型、距离、模块兼容、误码，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","连接质量分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 线缆类型、距离、模块兼容、误码；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
